Meta,Definición
,"Incrementar la productividad y diversificar las actividades en sector industrial, considerando las actividades e infraestructura de: (1) producción, (2) almacenamiento y centros de distribución y de logística, y (3) comercialización de insumos y productos terminados"
,"Disminuir el impacto ambiental, en cuanto al consumo de recursos y suelo y generación de residuos"
,Promover la producción en el sector industrial mediante el favorecimiento de economía circular
,Promover la descentralización de la actividad industrial hacia la zona sur y oriente
,
Tipo de industria,
Mediana y pesada,"La industria mediana y pesada incluye agroindustria y manufactura, como las principales."
,
Infraestructura,
Criterio,Definición
Energía,Acceso y calidad/capacidad de infraestructura eléctrica (CENACE capacidad de carga en nodos)
Acceso a agua,Acceso a agua potable en las localidades
Conectividad,Capacidad de hacer conexiones a centros de abastecimiento de mano de obra y distribución de productos
Manejo de residuos,Sitios de disposición final 
Comunicación,Telecomunicaciones por vía internet en las localidades
,
Conectividad,
Subcriterio,Definición
Carreteras,"Tipo de carreteras a las que se tiene acceso, carreteras de un carril o más de dos carriles"
Puertos,Distancia a puertos
Caminos ferroviarios,Distancia a caminos ferroviarios
Aeropuertos,Distancia a aeropuertos
,
Carreteras,
Subcriterio,Definición
Un carril,Carreteras de un solo carril
Varios carriles,Carreteras de dos o más carriles
,
Manejo residuos,
Subcriterio,Definición
Plantas de aguas residuales,Distancia a plantas de tratamiento de aguas residuales
Rellenos sanitarios,Distancia a infraestructura que involucra métodos y obras de ingeniería para la disposición final de los residuos sólidos urbanos y de manejo especial
Basureros,"Distancia a  bancos de basura, basureros, centros de acopio de residuos, chascaderas, tiraderos"
,
Socioeconómicos,
Criterio,Definición
Industria instalada,localidades con mayor número de unidades económicas registradas en el Directorio Estadístico Nacional de Unidades Económicas del INEGI en la categoría (31-33) Industrias manufactureras excepto la categoría (334)
Localidades,Población total en las localidades
Tenencia,Tenencia de la tierra
,
Biofísicos,
Criterio,Definición
Disponibilidad de agua  ,Distancia a manto freático
Cobertura  ,Uso de suelo y vegetación
Dispersión de emisiones,Vulnerabilidad del acuífero
