Capa,"Precipitación promedio de mayo, junio y julio"
Fuente,"Precipitación mensual, periodo: 2000 (1980-2009) Instituto de Biología, UNAM"
Año,2019
Resolución,1000 m x 1000 m 
Unidades,Milímetros
