Criterio,Definición,FV
Accesibilidad a mercados locales,"Distancia a puntos de venta local de becerros (Tizimín, Valladolid, Mérida y Tzucacab) ",0.87
Accesibilidad a mercados foráneos,"Distancia a puntos de venta de carne (Campeche, Cancún, Playa del Carmen).  ",0.13
